Required Tenor,Discount factor,Zero_Rate_Cubic_spline,"phi(T1, T2)",sigma_r_square,sigma_s_square
0.08333333333333333,0.9986592499456408,0.016099795966851023,0.001342042339187256,0.00623488457694546,0.32225596902218384
0.16944444444444445,0.9972851669245654,0.016043753614937463,0.002719484503484886,0.0014421948095025077,0.08469204081303944
0.25277777777777777,0.9959764302694879,0.015949527292520173,0.0040331594598527745,0.0006259024069396362,0.0398326842927042
0.338888888888889,0.9946525687413815,0.01582164573762793,0.005363788864433943,0.00034268329851028424,0.026032197166372797
0.4222222222222222,0.9934194601691013,0.015636995623950725,0.006604781325440373,0.0002161141011116839,0.017508333560952296
0.5083333333333333,0.9921644089144059,0.015474984859691412,0.007869480446854739,0.00014847488381332437,0.013249566764760067
0.5944444444444444,0.9909591923188258,0.015278002630223312,0.009085477723572823,0.00010794429062201047,0.010276689455347236
0.6777777777777778,0.9898390630131391,0.015068230349349787,0.010216940653081475,8.206965829850906e-05,0.00792674107591709
0.7638888888888888,0.9887036423060381,0.014872118598114478,0.011365199251037602,6.445882216692095e-05,0.0066281743454268864
0.8472222222222222,0.9876721670962488,0.014641319185791271,0.012409479110577692,5.199395745963509e-05,0.005299565779687582
0.9333333333333333,0.9866420530511215,0.014408535937794177,0.013453519136985344,4.2809854596947085e-05,0.004111148425421488
1.0166666666666666,0.9856710746414177,0.014195976131098935,0.014438603029018664,3.587586283470416e-05,0.0031956381708040274
1.1416666666666666,0.9842458435008598,0.013909114317179224,0.015887754151903567,3.412121689169509e-05,
1.3944444444444444,0.9814330142004387,0.013440130988497032,0.018767499304770056,5.8566085385228084e-05,2.877730255282787e-06
1.6472222222222221,0.9786922240227676,0.01307538442692943,0.02158184844952213,5.979090845014973e-05,0.00039805992082919055
1.9,0.9760034055747813,0.012783791187741448,0.024350789256225195,5.4829822283298214e-05,0.000515152086984744
2.1527777777777777,0.9733327370323653,0.012555538850827854,0.02710732413294714,4.782135318312391e-05,0.0005255624839627349
2.4055555555555554,0.9706564761560286,0.012380781140401122,0.029877149068611584,4.156000430688568e-05,0.000490923713978403
2.6777777777777776,0.9677549567091319,0.012240137295712961,0.03289140640077612,3.674161190783383e-05,0.00043961966133139783
2.9305555555555554,0.9650420566217823,0.012142269930313108,0.03571508846204409,3.209279374372373e-05,0.0003930839964636458
3.1638888888888888,0.9625298385025107,0.012070655323348733,0.03833464682116734,2.8058226028720424e-05,0.00035143291006406376
3.436111111111111,0.9595906312646715,0.012004417173287003,0.04141349233272599,2.5066216403381333e-05,0.0003123316574655817
3.688888888888889,0.9568449610446451,0.011958588930211919,0.04429534003998663,2.231808640193539e-05,0.00028309095654723243
3.941666666666667,0.9540758906205095,0.011926949881040365,0.047209948096981896,1.998844322509959e-05,0.00025992530457515615
4.194444444444445,0.9512767466437313,0.01190866955036139,0.050164593259462056,1.799963137284845e-05,0.00024174389761986016
4.447222222222222,0.9484391638807719,0.011903527260761887,0.05316842448744169,1.629021402435378e-05,0.00022775377920668458
4.7,0.9455534200754229,0.011911679402789411,0.05623213983102023,1.4811426230899482e-05,0.00021733373669350042
4.9527777777777775,0.9426097475596857,0.011933287956098076,0.05936662315002511,1.3524353687639184e-05,0.0002079381024562752
5.2056,0.9395993179713042,0.011968217317689881,0.06258029316857096,1.232616080728307e-05,0.0002008942006684331
6.021917808219178,0.92956933682212,0.012128009896630106,0.07380989571657562,2.230700224142204e-05,
7.027397260273973,0.917028053756105,0.012325646468063639,0.0883215532244872,3.105414082358933e-05,
8.027397260273972,0.903823063779564,0.012597067315301446,0.10373926781248231,3.223448445391568e-05,
9.027397260273972,0.89016150433645,0.012888805468247222,0.11988323648501537,3.079871893633919e-05,
10.024657534246575,0.876107273658474,0.013194140206494197,0.1367034043315545,2.8469090876729876e-05,
12.024657534246575,0.847769398398421,0.013733997459143284,0.17654857292375964,4.301876284484941e-05,
15.03013698630137,0.805947019560853,0.01435364636978266,0.2505993586710822,6.885014906431885e-05,
20.035616438356165,0.740914173328572,0.014966870961243798,0.43063659987191977,0.00011306072875360888,
25.041095890410958,0.684354021964359,0.015146298746045856,0.6232194212109672,0.0001119921076263975,
30.043835616438358,0.634228818875816,0.015156036746382774,0.8122749338152702,9.83262839789711e-05,
k,theta,rho,ed_fund_rate_fitting_used_model,,
0.01,0.01,-0.2221,Cubic_spline,,
