Required Tenor,"phi(T1, T2)"
0.011111111111111112,0.00017525402280504012
0.08333333333333333,0.0011667878927900989
0.16944444444444445,0.0013774414326129382
0.25277777777777777,0.0013136743149960483
0.338888888888889,0.0013306287133999994
0.4222222222222222,0.0012409918551437864
0.5083333333333333,0.0012646984303765676
0.5944444444444444,0.0012159966002500547
0.6777777777777778,0.001131462336537045
0.7638888888888888,0.0011482579216272456
0.8472222222222222,0.0010442792665684656
0.9333333333333333,0.0010440393499395197
1.0166666666666666,0.0009850832990640805
1.1416666666666666,0.0014491470880925608
1.3944444444444444,0.0028796778465460357
1.6472222222222221,0.0028142818384317494
1.9,0.0027688735003825933
2.1527777777777777,0.0027564726680356934
2.4055555555555554,0.0027697627269779
2.6777777777777776,0.0030141736884440086
2.9305555555555554,0.002823619852581436
3.1638888888888888,0.0026195131774086177
3.436111111111111,0.0030787618678382203
3.688888888888889,0.0028817854985615714
3.941666666666667,0.0029145458483087975
4.194444444444445,0.0029545829537938805
4.447222222222222,0.0030037690193051433
4.7,0.003063653134879766
4.9527777777777775,0.0031344211103304714
5.2056,0.0032136138939370313
6.021917808219178,0.011223566203979405
7.027397260273973,0.01449781220358269
8.027397260273972,0.015404167250819197
9.027397260273972,0.016130421335181888
10.024657534246575,0.016806767682205816
12.024657534246575,0.039640795991637244
15.03013698630137,0.07302773188090322
20.035616438356165,0.17322199859973628
25.041095890410958,0.18454036345125607
30.043835616438358,0.1810302470478498
