Required Tenor,estimated_sigma_s_square
0.08333333333333333,0.29189462071986805
0.16944444444444445,0.3160530461296542
0.25277777777777777,0.3526615852556002
0.3388888888888889,0.5185249586977737
0.4222222222222222,0.4602145596591466
0.5083333333333333,0.5845464063285167
0.5944444444444444,0.572040533632124
0.6777777777777778,0.44716399350531444
0.7638888888888888,0.661200161676896
0.8472222222222222,0.36517816529339425
0.9333333333333333,0.10131571020577995
1.0166666666666666,1.38136953255513e-06
1.3944444444444444,0.07243111724718633
1.6472222222222221,0.07160673045603774
1.9,0.07335480897655045
2.1527777777777777,0.06903713549393704
2.4055555555555554,0.06130620290035924
2.6777777777777776,0.045524410803608965
2.9305555555555554,0.04940314603050719
3.1638888888888888,0.049598912417962625
3.436111111111111,0.03718276675552322
3.688888888888889,0.047728670262835345
3.941666666666667,0.054687942263034625
4.194444444444445,0.06420786400063806
4.447222222222222,0.076971753041692
4.7,0.09355903672092403
4.9527777777777775,0.10072529970187952
5.205555555555556,0.1197934997534716
